customer_key,customer_name,customer_segment
1,Muhammed MacIntyre,Small Business
2,Barry French,Consumer
3,Clay Rozendal,Corporate
4,Carlos Soltero,Consumer
5,Carl Jackson,Corporate
6,Monica Federle,Corporate
7,Dorothy Badders,Home Office
8,Neola Schneider,Home Office
9,Carlos Daly,Home Office
10,Claudia Miner,Small Business
11,Allen Rosenblatt,Small Business
12,Sylvia Foulston,Home Office
13,Jim Radford,Corporate
14,Carl Ludwig,Corporate
15,Don Miller,Home Office
16,Annie Cyprus,Home Office
17,Grant Carroll,Small Business
18,Alan Barnes,Corporate
19,Jack Garza,Corporate
20,Julia West,Corporate
21,Eugene Barchas,Corporate
22,Edward Hooks,Consumer
23,Brad Eason,Small Business
24,Nicole Hansen,Small Business
25,Dorothy Wardle,Corporate
26,Aaron Bergman,Corporate
27,Don Jones,Corporate
28,Beth Thompson,Corporate
29,Frank Price,Corporate
30,Michelle Lonsdale,Home Office
31,Ann Chong,Corporate
32,Joy Bell,Home Office
33,Skye Norling,Home Office
34,Barry Weirich,Corporate
35,Adrian Hane,Corporate
36,Andrew Gjertsen,Consumer
37,Ralph Knight,Consumer
38,Beth Paige,Consumer
39,Bryan Davis,Corporate
40,Delfina Latchford,Small Business
41,Doug Bickford,Corporate
42,Jamie Kunitz,Corporate
43,Anthony Johnson,Small Business
44,Brendan Dodson,Corporate
45,Hunter Glantz,Corporate
46,Thomas Seio,Home Office
47,Becky Castell,Consumer
48,Cari Schnelling,Home Office
49,Chad Cunningham,Small Business
50,Bryan Mills,Small Business
51,Rick Reed,Consumer
52,Heather Kirkland,Home Office
53,Fred Wasserman,Home Office
54,Jack Lebron,Corporate
55,Mike Pelletier,Corporate
56,Charles McCrossin,Corporate
57,Charlotte Melton,Home Office
58,Henry Goldwyn,Small Business
59,Roy Skaria,Corporate
60,Jeremy Lonsdale,Corporate
61,Cindy Schnelling,Corporate
62,Susan Vittorini,Corporate
63,Toby Braunhardt,Corporate
64,Ralph Arnett,Consumer
65,Harold Engle,Consumer
66,Roy French,Consumer
67,Helen Abelman,Home Office
68,Guy Armstrong,Corporate
69,Jennifer Braxton,Small Business
70,Giulietta Baptist,Home Office
71,Erica Bern,Corporate
72,Christopher Schild,Corporate
73,Joy Smith,Corporate
74,Evan Minnotte,Corporate
75,Jenna Caffey,Consumer
76,Hilary Holden,Corporate
77,Greg Guthrie,Corporate
78,Dan Reichenbach,Corporate
79,Paul Gonzalez,Corporate
80,Filia McAdams,Small Business
81,Chuck Magee,Corporate
82,Frank Atkinson,Corporate
83,Philip Brown,Home Office
84,Jim Sink,Corporate
85,Logan Haushalter,Corporate
86,Noah Childs,Home Office
87,Brian Moss,Corporate
88,Julie Creighton,Corporate
89,Sanjit Chand,Home Office
90,Matt Collins,Consumer
91,Justin Knight,Corporate
92,Rob Haberlin,Corporate
93,Christina Vanderzanden,Small Business
94,Lena Cacioppo,Home Office
95,Kimberly Carter,Home Office
96,Gene Hale,Consumer
97,Sally Knutson,Consumer
98,Marina Lichtenstein,Corporate
99,Michelle Arnett,Home Office
100,Seth Vernon,Home Office
101,Luke Weiss,Corporate
102,Christina DeMoss,Home Office
103,Sonia Sunley,Small Business
104,Anthony O'Donnell,Consumer
105,Emily Grady,Home Office
106,Alex Avila,Home Office
107,Anna Andreadi,Small Business
108,Barbara Fisher,Small Business
109,Kelly Williams,Corporate
110,Jocasta Rupert,Consumer
111,Rick Duston,Corporate
112,Angele Hood,Consumer
113,Dennis Bolton,Consumer
114,Stewart Carmichael,Corporate
115,Sarah Foster,Corporate
116,Jim Karlsson,Small Business
117,Lisa DeCherney,Corporate
118,Peter Buhler,Consumer
119,Daniel Lacy,Small Business
120,Giulietta Weimer,Corporate
121,Mike Vittorini,Small Business
122,Lela Donovan,Corporate
123,Shahid Shariari,Corporate
124,Trudy Schmidt,Small Business
125,Christopher Martinez,Small Business
126,Marc Harrigan,Home Office
127,Liz Price,Consumer
128,Ralph Kennedy,Corporate
129,Rob Dowd,Corporate
130,Khloe Miller,Home Office
131,Shahid Hopkins,Small Business
132,Kristina Nunn,Consumer
133,Ricardo Emerson,Corporate
134,Patrick O'Brill,Home Office
135,Thomas Brumley,Consumer
136,Vicky Freymann,Home Office
137,Tony Chapman,Consumer
138,Sarah Bern,Corporate
139,Mark Cousins,Home Office
140,Daniel Byrd,Home Office
141,John Murray,Small Business
142,Lena Hernandez,Home Office
143,Greg Maxwell,Home Office
144,Justin Hirsh,Consumer
145,Heather Jas,Corporate
146,Philisse Overcash,Small Business
147,Neil Knudson,Home Office
148,Cathy Armstrong,Consumer
149,Chuck Clark,Corporate
150,Bill Eplett,Corporate
151,John Grady,Corporate
152,Tanja Norvell,Consumer
153,Paul MacIntyre,Corporate
154,Matt Abelman,Consumer
155,Sarah Jordon,Consumer
156,Sally Matthias,Corporate
157,Theone Pippenger,Corporate
158,Art Ferguson,Corporate
159,Jack O'Briant,Home Office
160,Nathan Cano,Consumer
161,Michael Granlund,Corporate
162,Steve Carroll,Consumer
163,Scott Williamson,Small Business
164,Sean Wendt,Corporate
165,John Castell,Consumer
166,David Philippe,Consumer
167,Chad Sievert,Corporate
168,Shaun Weien,Home Office
169,Maya Herman,Corporate
170,Ivan Liston,Consumer
171,Brad Norvell,Corporate
172,Ken Heidel,Corporate
173,Mike Kennedy,Small Business
174,Charles Sheldon,Corporate
175,Brian Derr,Small Business
176,Roland Black,Small Business
177,Dana Kaydos,Corporate
178,Darren Koutras,Consumer
179,Neil Ducich,Home Office
180,Parhena Norris,Home Office
181,Bart Watters,Corporate
182,Mary O'Rourke,Home Office
183,Hunter Lopez,Consumer
184,Nathan Mautz,Corporate
185,Aaron Smayling,Small Business
186,Joel Jenkins,Corporate
187,Meg O'Connel,Corporate
188,Hallie Redmond,Home Office
189,Liz Thompson,Corporate
190,Robert Waldorf,Home Office
191,Helen Andreada,Corporate
192,Julia Dunbar,Consumer
193,Christine Sundaresam,Small Business
194,Bruce Stewart,Corporate
195,Guy Thornton,Corporate
196,Mary Zewe,Corporate
197,Ken Lonsdale,Consumer
198,Maria Bertelson,Home Office
199,Brian Thompson,Home Office
200,Jason Gross,Small Business
201,Katrina Bavinger,Consumer
202,Ivan Gibson,Corporate
203,Joseph Airdo,Corporate
204,Lycoris Saunders,Home Office
205,Dorothy Dickinson,Corporate
206,Janet Molinari,Corporate
207,Julie Prescott,Home Office
208,Annie Thurman,Home Office
209,Rob Beeghly,Consumer
210,Doug O'Connell,Small Business
211,Craig Carroll,Corporate
212,Liz MacKendrick,Corporate
213,Christine Kargatis,Small Business
214,Bobby Odegard,Corporate
215,Russell Applegate,Home Office
216,Bill Donatelli,Small Business
217,Duane Benoit,Home Office
218,Harold Pawlan,Small Business
219,Adam Bellavance,Small Business
220,Cari Sayre,Home Office
221,Sean O'Donnell,Corporate
222,Sandra Glassco,Home Office
223,Shirley Schmidt,Corporate
224,Rick Wilson,Corporate
225,Pauline Chand,Corporate
226,Jennifer Halladay,Home Office
227,Ritsa Hightower,Corporate
228,Joni Blumstein,Home Office
229,Pete Armstrong,Consumer
230,Anna Gayman,Corporate
231,Nat Gilpin,Consumer
232,Rose O'Brian,Home Office
233,Daniel Raglin,Corporate
234,Corinna Mitchell,Corporate
235,Eva Jacobs,Home Office
236,Jas O'Carroll,Corporate
237,Paul Prost,Corporate
238,Michael Nguyen,Small Business
239,Tamara Dahlen,Corporate
240,Erin Creighton,Corporate
241,Henry MacAllister,Small Business
242,Candace McMahon,Corporate
243,Tamara Chand,Consumer
244,Duane Huffman,Small Business
245,Edward Nazzal,Home Office
246,Kelly Lampkin,Corporate
247,Anthony Witt,Corporate
248,Ted Trevino,Corporate
249,Ed Ludwig,Consumer
250,Jeremy Ellison,Small Business
251,Alan Hwang,Corporate
252,Eileen Kiefer,Consumer
253,James Lanier,Corporate
254,Edward Becker,Corporate
255,Gary Zandusky,Home Office
256,Ann Blume,Corporate
257,Erin Smith,Home Office
258,Allen Golden,Consumer
259,Frank Carlisle,Small Business
260,Gary Hansen,Consumer
261,Nancy Lomonaco,Home Office
262,Anna Haberlin,Corporate
263,Erin Ashbrook,Consumer
264,Darren Budd,Consumer
265,Bill Stewart,Corporate
266,Christine Phan,Small Business
267,Eugene Hildebrand,Home Office
268,Melanie Page,Corporate
269,Jesus Ocampo,Small Business
270,Darren Powers,Corporate
271,Patrick Bzostek,Consumer
272,Grace Kelly,Consumer
273,Dan Lawera,Corporate
274,George Ashbrook,Small Business
275,Dave Hallsten,Home Office
276,Arthur Wiediger,Corporate
277,Jim Mitchum,Consumer
278,Andy Yotov,Corporate
279,Frank Hawley,Home Office
280,Theresa Coyne,Home Office
281,David Smith,Small Business
282,Naresj Patel,Small Business
283,Ruben Ausman,Corporate
284,Larry Hughes,Home Office
285,Magdelene Morse,Home Office
286,Jonathan Howell,Consumer
287,Linda Cazamias,Corporate
288,Nat Carroll,Home Office
289,Gary Mitchum,Consumer
290,Matt Hagelstein,Home Office
291,Andy Reiter,Corporate
292,Mike Caudle,Corporate
293,Cynthia Arntzen,Home Office
294,Brian Stugart,Consumer
295,George Bell,Corporate
296,Joni Sundaresam,Home Office
297,Michelle Huthwaite,Home Office
298,Amy Cox,Corporate
299,Cari MacIntyre,Corporate
300,Eudokia Martin,Home Office
301,Fred Hopkins,Home Office
302,Aimee Bixby,Home Office
303,Anemone Ratner,Small Business
304,Chris Selesnick,Home Office
305,Noel Staavos,Home Office
306,Dean Braden,Corporate
307,Lena Creighton,Corporate
308,Matt Collister,Home Office
309,Erica Smith,Small Business
310,Janet Martin,Corporate
311,Andrew Roberts,Small Business
312,Michael Dominguez,Home Office
313,Thomas Boland,Corporate
314,Olvera Toch,Home Office
315,Lena Radford,Small Business
316,Sean Christensen,Home Office
317,Todd Boyes,Consumer
318,Sean Miller,Small Business
319,Phillip Breyer,Corporate
320,Michelle Ellison,Small Business
321,Scot Coram,Corporate
322,Natalie Fritzler,Home Office
323,Nathan Gelder,Home Office
324,Patricia Hirasaki,Home Office
325,Maria Zettner,Corporate
326,Matthew Clasen,Consumer
327,Patrick O'Donnell,Home Office
328,Harry Marie,Consumer
329,Victoria Wilson,Home Office
330,Shahid Collister,Home Office
331,Thea Hendricks,Home Office
332,Corey Catlett,Home Office
333,Ed Jacobs,Small Business
334,Keith Herrera,Small Business
335,Carlos Meador,Corporate
336,Raymond Fair,Small Business
337,Karl Brown,Home Office
338,Natalie Webber,Consumer
339,Eric Barreto,Consumer
340,Barry Franz,Corporate
341,Craig Yedwab,Corporate
342,Chuck Sachs,Consumer
343,Muhammed Lee,Consumer
344,Bobby Trafton,Small Business
345,David Flashing,Home Office
346,Troy Staebel,Small Business
347,Nora Paige,Small Business
348,Harold Dahlen,Corporate
349,Jay Fine,Consumer
350,Dan Campbell,Corporate
351,George Zrebassa,Home Office
352,Eleni McCrary,Corporate
353,Astrea Jones,Corporate
354,Giulietta Dortch,Consumer
355,Cathy Hwang,Home Office
356,Damala Kotsonis,Corporate
357,Dianna Arnett,Home Office
358,Fred McMath,Small Business
359,Christy Brittain,Consumer
360,Tom Prescott,Small Business
361,Yana Sorensen,Corporate
362,Brad Thomas,Corporate
363,Cynthia Voltz,Corporate
364,Dean Percer,Consumer
365,Ben Peterman,Corporate
366,Tracy Poddar,Corporate
367,Michael Paige,Small Business
368,Corey Roper,Small Business
369,Maureen Gastineau,Consumer
370,Muhammed Yedwab,Consumer
